,Topic,,,Article,,,
,Series Level 1,Series Level 2,Series Level 3,,URL*,,
,,,,Overview :2 Corinthians,38714-overview-2-corinthians,,
,,,,Overview: Galatians,38715-overview-galatians,,
,,,,Overview: Ephesians,38716-overview-ephesians,,
,,,,Overview: Philippians,38717-overview-philippians,,
,,,,Overview: Colossians,38718-overview-colossians,,
,,,,Overview: 1 Thessalonians,38719-overview-1-thessalonians,,
,,,,Overview: 2 Thessalonians,38720-overview-2-thessalonians,,
,,,,Overview: 1 Timothy,38721-overview-1-timothy,,
,,,,Overview: 2 Timothy,38722-overview-2-timothy,,
,,,,Overview: Titus,38723-overview-titus,,
,,,,Overview: Philemon,38724-overview-philemon,,
,,,,Overview: Hebrews,38725-overview-hebrews,,
,,,,Overview: James,38726-overview-james,,
,,,,Overview: 1 Peter,38727-overview-1-peter,,
,,,,Overview: 2 Peter,38728-overview-2-peter,,
,,,,Overview: 1-3 John,38729-overview-1-3-john,,
,,,,Overview: Jude,38730-overview-jude,,
,,,,Overview: Revelation Ch. 1-11,38731-overview-revelation-ch-1-11,,
,,,,Overview: Revelation Ch. 12-22 ,38732-overview-revelation-ch-12-22,,
,,06.5 Bible Courses,,,,,
07,Disciple Making Movement (Joshua Nations),,,,,,
,,07.1 Unit 1. Personal Preparation,,,,,
,,,,1. Lesson 1: Intimacy with God,93621-1-lesson-1-intimacy-with-god,,
,,,,2. Lesson 2: Prayer and Fasting,93621-2-lesson-2-prayer-and-fasting,,
,,,,3. Lesson 3: Hearing God's Voice,93621-3-lesson-3-hearing-gods-voice,,
,,,,4. Lesson 4: Called and Committed,93621-4-lesson-4-called-and-committed,,
,,,,5. Lesson 5: Healthy Family,93621-5-lesson-5-healthy-family,,
,,,,6. Lesson 6: Understanding Disciple-Making Movement,93621-6-lesson-6-understanding-disciple-making-movement,,
,,,,7. Lesson 7: Developing Culturally Relevant Disciple Making Strategy,93621-7-lesson-7-developing-culturally-relevant-disciple-making-strategy,,
,,07.2 Unit 2. Understanding the Field,,,,,
,,,,"1 Lesson 1. Demography, Cultraure & Religious Beliiefs",93622-1-lesson-1-demography-cultraure-religious-beliiefs,,
,,,,2 Lesson 2. Spiritual Warfare,93622-2-lesson-2-spiritual-warfare,,
,,,,3 Lesson 3. Prayer Walking,93622-3-lesson-3-prayer-walking,,
,,,,4 Lesson 4. Orality Training,93622-4-lesson-4-orality-training,,
,,07.3 Unit 3. Implementing Disciple-Making Processes,,,,,
,,,,1 Lesson 1. Relational Evangelism,93623-1-lesson-1-relational-evangelism,,
,,,,2 Lesson 2. Person of Peace,93623-2-lesson-2-person-of-peace,,
,,,,"3 Lesson 3. Call to Repentance, Belief, and Baptism",93623-3-lesson-3-call-to-repentance-belief-and-baptism,,
,,,,4 Lesson 4. The 3/3rds Group Format,93623-4-lesson-4-the-3-3rds-group-format,,
,,,,5 Lesson 5. Gathering as a Church,93623-5-lesson-5-gathering-as-a-church,,
,,,,6 Lesson 6. Freedom Ministry,93623-6-lesson-6-freedom-ministry,,
,,,,7 Lesson 7. Bible Study Methods,93623-7-lesson-7-bible-study-methods,,
,,,,8 Lesson 8. Prayer,93623-8-lesson-8-prayer,,
,,,,9 Lesson 9. Worship Life of the Disciple,93623-9-lesson-9-worship-life-of-the-disciple,,
,,07.4 Unit 4. Multiply Disciple-Making Movments,,,,,
,,,,1 Lesson 1. Call to Give and Serve,93624-1-lesson-1-call-to-give-and-serve,,
,,,,2 Lesson 2. Selecting Leaders,93624-2-lesson-2-selecting-leaders,,
,,,,3 Lesson 3. Modeling to Multiply Leaders,93624-3-lesson-3-modeling-to-multiply-leaders,,
,,,,4 Lesson 4. Coaching Leaders: Nurturing Skill and Ability in Others,93624-4-lesson-4-coaching-leaders-nurturing-skill-and-ability-in-others,,
,,,,5 Lesson 5. Four Fields and Multiplication,93624-5-lesson-5-four-fields-and-multiplication,,
,,,,6 Lesson 6. Evangelism Who? List of 100,93624-6-lesson-6-evangelism-who-list-of-100,,
,,,,7 Lesson 7. How? God's Story,93624-7-lesson-7-how-gods-story,,
,,,,8 Lesson 8. How? Your Story,93624-8-lesson-8-how-your-story,,
,,,,9 Lesson 9. Commissioning,93624-9-lesson-9-commissioning,,
08,Biblical Counseling Insights,,,,,,
09,Rapid Church Planting (Joshua Nations),,,,,,
,,,,1. Why Plant a Church,93610-01-why-plant-a-church,,
,,,,2. Definition and Purpose of a Church,93610-02-definition-and-purpose-of-a-church,,
,,,,3. Motivation for Planting a Church,93610-03-motivation-for-planting-a-church,,
,,,,"4. Values, Vision, and Style for Your Church",93610-04-values-vision-and-style-for-your-church,,
,,,,5. Planning and Strategy,93610-05-planning-and-strategy,,
,,,,6. The Church Planting Team,93610-06-the-church-planting-team,,
,,,,7. Spiritual Warfare and Outreach,93610-07-spiritual-warfare-and-outreach,,
,,,,8. Meet on a Regular Basis for worship prayer and study,93610-08-meet-on-a-regular-basis-for-worship-prayer-and-study,,
,,,,9. Connect New Believers to a Process of Discipleship,93610-09-connect-new-believers-to-a-process-of-discipleship,,
,,,,10. Repeat the Process as Often as Possible,93610-10-repeat-the-process-as-often-as-possible,,
,,,,11. Ten Key Elements of Church Planting Movements,93610-11-ten-key-elements-of-church-planting-movements,,
,,,,12. The Church Represented in the Marketplace,93610-12-the-church-represented-in-the-marketplace,,
